0,1,2,3,4,5,6,7,8,9,y
1.5357754,0.6105877,-1.0575457,-3.0901666,0.4468913,-0.23797514,0.06626376,4.6585226,1.3553677,-0.10651478,2
2.4649832,-0.64151776,0.32359844,-1.6924222,-0.23232296,0.7778167,0.2803429,3.3337615,3.4390526,1.1055845,2
1.9141709,-0.43793008,-1.8846772,-1.3838605,-0.7962926,-3.025521,-1.5106232,2.6061628,0.5118403,0.30764505,2
2.9735074,1.3940771,-1.2760111,-0.7469913,0.4275221,1.4858426,-1.2827257,1.0868324,1.039261,0.4113851,1
2.9988887,-0.22706345,-1.0404278,-0.43082857,-0.64476585,-2.4629905,-2.2882383,2.134826,1.7607908,2.494953,2
2.4072514,0.76655877,-0.35774386,-1.0473672,0.72201085,-1.7510881,-2.2696657,-0.01409398,2.4810655,2.2007935,2
0.8047424,-1.0955247,-0.061033033,-0.16854905,2.6423342,-2.0159485,0.3976862,0.69277275,2.3595965,-1.1802646,0
2.7453566,1.0908952,-1.743913,-1.4938747,-0.3711708,-1.4429438,-1.6126261,0.08578021,0.49479678,2.9385488,1
1.9949073,1.1326783,-2.0924401,-3.2337658,-1.0670316,0.57509625,1.4230946,1.5982558,0.32509676,-0.66517615,1
2.9441783,1.3041888,-1.2065793,-0.6439115,-0.6084291,1.3379896,-1.6612927,1.5513123,0.95915484,0.6433831,1
3.2393713,1.7274213,-1.7574759,-0.9092697,0.8529443,1.7776878,-0.41660768,1.281962,0.88488406,0.7301283,1
2.4285865,0.29853508,0.06732066,0.40057603,0.14131452,-0.9523737,-1.9955298,1.7130396,1.8529474,1.7172484,2
2.493435,0.7906565,0.0060820878,-0.004355949,2.421378,0.17946911,-1.7270247,-0.27096617,2.2828248,0.92509395,2
3.2202206,1.0782478,-1.3245808,-0.63524544,1.0715663,1.4633952,-1.0428795,1.249869,1.2027582,0.35437956,1
2.0796766,0.99115545,-1.0141835,-3.0686288,-0.9060925,0.0034882687,0.6505761,3.0448036,0.4989316,-0.6334772,1
2.1715527,0.503403,-2.1074605,-1.4041222,-1.7741146,0.76795626,0.38954702,1.3584944,0.9217541,0.5688995,1
0.49265137,-0.6608486,-2.411322,-3.063303,-1.4905877,-1.6383336,0.7981638,2.5285814,1.7011017,0.9950973,1
3.0056036,1.9628527,-2.2574368,-1.2120297,0.78997463,-0.5619227,-1.0403105,0.47320983,0.80324537,1.3671963,1
0.03431969,-1.2661481,-1.3340185,-1.9994949,0.6557027,-0.551034,-1.504033,2.7179053,1.4933634,0.48925522,2
3.709937,1.0286925,-0.81728095,-1.021375,1.8254734,0.69560605,-1.1585768,1.0110936,1.4284128,1.0501854,1
2.1712384,0.029161701,-2.0453174,-1.4259437,1.2770525,-1.2740463,1.2574569,1.7818344,1.9876212,-0.82834023,0
2.1483884,0.47943524,-2.9130127,-2.6100714,-1.219048,0.10343751,0.9045967,1.4824349,1.0155246,-0.2562028,1
1.0843242,-0.8942354,-0.6026139,-0.8607476,2.1312432,-1.2844695,0.9518496,1.2704102,2.4398994,-1.4694378,0
2.957807,1.4184217,-1.7829063,-1.2031118,1.2402534,-0.6762739,-1.006804,0.052191515,0.21931958,2.95286,1
3.0549054,1.2641052,-1.6025587,-0.87572575,-0.2932501,1.343232,-1.3825632,1.2637631,1.2128567,0.6033554,1
0.020028768,0.050156355,-2.1869054,-2.206002,-0.6488478,-1.4073242,1.5315384,1.3985282,0.49305272,-0.95950586,1
2.1472082,0.073576614,0.4539184,0.32255942,1.9427359,-0.8903715,-2.921619,1.2670506,1.6495897,0.5521836,2
1.9561273,-0.48598215,-1.337611,-1.8352257,2.5386236,-0.9123197,1.3689296,1.4883069,2.4145837,-1.4563181,0
0.50818306,-0.6651477,-0.13253678,-0.88264656,2.5914183,-1.1807618,1.2441548,0.4907311,2.3242729,-1.2768275,0
1.684112,-0.5652648,-2.112677,-2.2588181,-2.159456,-1.5352682,0.11777858,2.364464,1.5765309,0.64197737,1
